lemma
AC
ADHD
AIDS
ANOVA
API
ATM
Abbey
Academy
Acadian
Acropolis
Admiral
Adobe
Adventist
Afghan
African
Afro
Akashic
Alaskan
Aleph
Amalgamated
Amazonian
American
Amish
Amo
Amtrak
Anasazi
Andean
Android
Anglican
Anglo
Angus
Antarctic
Antiquarian
Apache
Appalachian
Appian
Arab
Arabian
Arabic
Arcadian
Arctic
Argentine
Argentinean
Armageddon
Arum
Ashanti
Asian
Atlantean
Atlas
Auburn
Auntie
Aussie
Australian
Austrian
Avenger
Avenue
Ayurvedic
Aztec
BILLER
BMI
Bahamian
Balkan
Baltic
Bangladeshi
Baptist
Baroness
Bavarian
Bay
Beamer
Bearcat
Belgian
Beltway
Benedictine
Bengal
Bengali
Berliner
Bewitched
Bible
Bigfoot
Bijou
Biosystem
Bitsy
Blackie
Bluetooth
Bodhi
Boer
Bollywood
Bostonian
Botanic
Botox
Bowery
Bowman
Bracken
Brahma
Brahmin
Brava
Bravo
Brazilian
Breton
Brigantine
Brit
British
Britisher
Broadway
Brotherhood
Buddha
Bulldog
Burr
Bushido
Bushman
Bushmaster
Butte
Byzantine
CAD
CD
CEO
CFO
CPA
CPI
CPU
CRU
Cajun
Calabrese
Calabrian
Californian
Cambrian
Campion
Canadian
Carib
Caribbean
Carmine
Carolinian
Casanova
Cascadian
Castilian
Catamount
Catholic
Catwoman
Cay
Celt
Celtic
Centre
Cepheid
Chaldean
Cherokee
Chesterfield
Chevron
Cheyenne
Chicano
Chilean
Chinese
Chippewa
Choctaw
Christian
Christianity
Christmas
Chronicle
Cingular
Cirque
Clostridium
Coliseum
Colombian
Colonel
Coloradan
Colosseum
Columbian
Comal
Comanche
Commodore
Commonwealth
Confederacy
Confederate
Congress
Conservancy
Contessa
Continental
Coptic
Cordillera
Corinthian
Corsair
Cossack
Cotter
Creek
Creole
Crested
Croatian
Cuban
Cubist
Cyclops
Cypriot
Czech
DJ
DNA
DNS
Dalian
Dane
Danish
Dateline
Dauphin
Deb
Deepwater
Delft
Democrat
Democratic
Diamondback
Dickey
Dictaphone
Dietetic
Digest
Doberman
Docker
Dominican
Dominus
Donna
Doric
Drag
Dubliner
Duomo
Dustbuster
Dutch
Dutchman
ECU
ESP
East
Easter
Edelweiss
Egyptian
Elizabethan
Ell
Elysian
Emmy
Empress
Emt
Encyclopaedia
English
Englishman
Enquirer
Epicurean
Episcopal
Eskimo
Esquire
Estonian
Eta
Euro
Euro-american
European
Eurostar
Excellency
Excelsior
FM
Fahrenheit
Fair
Federalist
Federated
Federation
Filipino
Finn
Finnish
Flatiron
Flemish
Florentine
Floridian
Forecasting
Formosan
Franciscan
Freemasonry
French
Frenchman
Frisbee
Futurist
GDP
GI
GMT
GNU
GOP
GPA
GPS
Gael
Gaussian
Gazette
Gen
Gentry
Georgette
Georgian
Germain
German
Goldsmith
Gordian
Gothic
Grammy
Gran
Grandpa
Grecian
Greek
Greenbrier
Gregorian
Grinch
Guatemalan
Gulf
Haitian
Halloween
Hank
Hanoverian
Hanseatic
Harbour
Harrier
Hatter
Haw
Hawaiian
Hawkeye
Healthcare
Hebrew
Hertz
Hessian
Hidalgo
Highness
Himalayan
Hispanic
Hittite
Hmo
Holly
Holstein
Hoosier
Hooter
Huck
Hummer
Humvee
Hungarian
Husker
I
IMAX
IP
IRC
Icelandic
Iceman
Ignatian
Inca
Incan
Indian
Indy
Institute
Intermountain
Interstate
Intracoastal
Irish
Irishman
Islamic
Isle
Israeli
It
Italian
Jacuzzi
Jade
Jamaican
Japanese
Jasmine
Jasper
Jay
Jesuit
Jewish
Jinx
Jovian
Jubilee
Judaism
Kappa
Kentish
Kentuckian
Kenyan
Kevlar
Keystone
Khan
Kleenex
Klingon
Koji
Korean
LCD
LSD
